"#","Product Name","Product Name En","Markets","Date","Farmgate Price","Wholesale Price","Retail Price","Province","District"
"46","Igi- Pondeze","Igi- Pondeze","gahoromani","Mon Jun 22 2026 12:35:41 GMT+0200 (South Africa Standard Time)","150","170","200","",""
"47","inyama-inka-imvange","inyama-inka-imvange","gahoromani","Mon Jun 22 2026 12:35:41 GMT+0200 (South Africa Standard Time)","5600","6600","6800","",""
"48","Inyama-inka- Iroti","Inyama-inka- Iroti","gahoromani","Mon Jun 22 2026 12:09:30 GMT+0200 (South Africa Standard Time)","8000","8800","9000","",""
"49","Inyama - Inkoko - rwanda","Inyama - Inkoko - rwanda","gahoromani","Mon Jun 22 2026 12:09:30 GMT+0200 (South Africa Standard Time)","6000","6800","7000","",""
"50","inyama - inkoko - pondezi","inyama - inkoko - pondezi","gahoromani","Mon Jun 22 2026 12:09:30 GMT+0200 (South Africa Standard Time)","4000","4800","5000","",""
"51","IFI - Tilapia","IFI - Tilapia","gahoromani","Mon Jun 22 2026 12:09:30 GMT+0200 (South Africa Standard Time)","5500","6300","6500","",""
"52","Ibirayi- Kinigi Grade 2","Ibirayi- Kinigi Grade 2","gahoromani","Mon Jun 22 2026 12:09:30 GMT+0200 (South Africa Standard Time)","750","770","800","",""
"53","ibirayi - Kirundo","ibirayi - Kirundo","gahoromani","Mon Jun 22 2026 12:09:30 GMT+0200 (South Africa Standard Time)","600","630","650","",""
"54","Ibitunguru-umweru","Ibitunguru-umweru","gahoromani","Mon Jun 22 2026 12:09:30 GMT+0200 (South Africa Standard Time)","1300","1400","1500","",""
"55","Isukari","Isukari","kibuye","Mon Jun 22 2026 12:18:38 GMT+0200 (South Africa Standard Time)","1400","1500","1600","",""
"56","Umuceli-RW","Umuceli-RW","kibuye","Mon Jun 22 2026 12:17:17 GMT+0200 (South Africa Standard Time)","1000","1100","1200","",""
"57","Umuceli-Tz","Umuceli-Tz","kibuye","Mon Jun 22 2026 12:16:33 GMT+0200 (South Africa Standard Time)","1780","1890","2000","",""
"58","Umuceri - Tz No 2","Umuceri - Tz No 2","kibuye","Mon Jun 22 2026 12:15:34 GMT+0200 (South Africa Standard Time)","1280","1390","1500","",""
"59","Umuceri Pakistani","Umuceri Pakistani","kibuye","Mon Jun 22 2026 12:14:46 GMT+0200 (South Africa Standard Time)","1100","1250","1350","",""
