date,fert_index
1976-08-01,25.82644629411
1976-09-01,26.22366318306
1976-10-01,25.9476395943
1976-11-01,25.48982605525
1976-12-01,25.25899359561
1977-01-01,47.56059498497
1977-02-01,45.88564484487
1977-03-01,43.0713449167
1977-04-01,31.57724434795
1977-05-01,32.16919018356
1977-06-01,32.47650517111
1977-07-01,32.34676463796
1977-08-01,32.78175480695
1977-09-01,34.04439200728
1977-10-01,33.82600135519
1977-11-01,33.79934240645
1977-12-01,33.41771138232
1978-01-01,32.47018398007
1978-02-01,32.43690299041
1978-03-01,32.62810616129
1978-04-01,33.09677789166
1978-05-01,32.59191543244
1978-06-01,32.77845994047
1978-07-01,34.3688529236
1978-08-01,34.92852060472
1978-09-01,34.28038443774
1978-10-01,33.92744014215
1978-11-01,35.01520820091
1978-12-01,34.85237766495
1979-01-01,35.81954417125
1979-02-01,36.18646273515
1979-03-01,35.53449413911
1979-04-01,36.37924251462
1979-05-01,37.13528854602
1979-06-01,38.23378315833
1979-07-01,40.65735598955
1979-08-01,42.52453462459
1979-09-01,43.21449238841
1979-10-01,45.3459338215
1979-11-01,46.2427929702
1979-12-01,48.80724358247
1980-01-01,50.73679485174
1980-02-01,50.59493167712
1980-03-01,51.35886029072
1980-04-01,53.5388539237
1980-05-01,54.13851011837
1980-06-01,52.48109063401
1980-07-01,52.65132644356
1980-08-01,52.33922745938
1980-09-01,52.48358755286
1980-10-01,52.45521491794
1980-11-01,53.07941288628
1980-12-01,54.55478990238
1981-01-01,55.12660669806
1981-02-01,60.32056024655
1981-03-01,59.3558906591
1981-04-01,41.23732402089
1981-05-01,55.03704302185
1981-06-01,54.83843457737
1981-07-01,49.2962243924
1981-08-01,45.92328428274
1981-09-01,46.00840218751
1981-10-01,45.69630320334
1981-11-01,43.0708683112
1981-12-01,41.51076092967
1982-01-01,38.78539758558
1982-02-01,41.43171435609
1982-03-01,40.43867213372
1982-04-01,39.10998116401
1982-05-01,38.59135675235
1982-06-01,36.74604507307
1982-07-01,35.78542895539
1982-08-01,35.87653845427
1982-09-01,35.8178674943
1982-10-01,36.24009460977
1982-11-01,35.70435320952
1982-12-01,35.65980997313
1983-01-01,37.76782431984
1983-02-01,37.62788683534
1983-03-01,37.57970981554
1983-04-01,35.49477441233
1983-05-01,33.50252531595
1983-06-01,35.41474615617
1983-07-01,33.24862955842
1983-08-01,32.63097890561
1983-09-01,32.74446944531
1983-10-01,34.40863819641
1983-11-01,34.31935928159
1983-12-01,34.23276554447
1984-01-01,34.8000537292
1984-02-01,35.01472118028
1984-03-01,37.73883606494
1984-04-01,35.29034450624
1984-05-01,37.6418697586
1984-06-01,38.94218809338
1984-07-01,41.42627786675
1984-08-01,42.01976307469
1984-09-01,42.01976307469
1984-10-01,43.26164564522
1984-11-01,41.99559056387
1984-12-01,41.7969821194
1985-01-01,41.7859169505
1985-02-01,41.58923419615
1985-03-01,31.83315659275
1985-04-01,32.30442621757
1985-05-01,35.8635203747
1985-06-01,33.48986478454
1985-07-01,33.20239305702
1985-08-01,31.93901560721
1985-09-01,30.37322613564
1985-10-01,29.74028895131
1985-11-01,30.88393356429
1985-12-01,30.99742410399
1986-01-01,30.05488485434
1986-02-01,29.26199379669
1986-03-01,29.51734751102
1986-04-01,28.62710717715
1986-05-01,27.88941866911
1986-06-01,27.40708387538
1986-07-01,26.08607192109
1986-08-01,26.44509946564
1986-09-01,25.3930855703
1986-10-01,25.31903283443
1986-11-01,25.09069729363
1986-12-01,25.11906992856
1987-01-01,25.17974883554
1987-02-01,26.39898890464
1987-03-01,27.0121217041
1987-04-01,27.85891991505
1987-05-01,29.29003625555
1987-06-01,29.6872531445
1987-07-01,30.59954155928
1987-08-01,30.58223409325
1987-09-01,30.21191400688
1987-10-01,31.03997585634
1987-11-01,30.95485795157
1987-12-01,31.35451324757
1988-01-01,32.09605313586
1988-02-01,32.81546268636
1988-03-01,33.91717257667
1988-04-01,32.84383532129
1988-05-01,34.72362572206
1988-06-01,34.92223416654
1988-07-01,34.92223416654
1988-08-01,38.39846551561
1988-09-01,38.21303471596
