date,district,season,rainfall_anomaly
1991-11-01,Bugesera,B,-0.8445492212121112
1991-12-01,Bugesera,B,0.05156184834686512
1992-01-01,Bugesera,off,-1.1321498357347968
1992-02-01,Bugesera,off,-0.890654341992594
1992-03-01,Bugesera,A,-1.0438088059749508
1992-04-01,Bugesera,A,0.08727228111351261
1992-05-01,Bugesera,A,-0.5519493457072284
1992-06-01,Bugesera,off,1.182150452746234
1992-07-01,Bugesera,off,-0.15397746671554385
1992-08-01,Bugesera,off,-1.3235621691205965
1992-09-01,Bugesera,off,0.04317115050598213
1992-10-01,Bugesera,B,-0.07412779690683756
1992-11-01,Bugesera,B,-0.9021349559475274
1992-12-01,Bugesera,B,0.22771284121869279
1993-01-01,Bugesera,off,1.8546727936882785
1993-02-01,Bugesera,off,0.12110095797510632
1993-03-01,Bugesera,A,-0.7948078727082811
1993-04-01,Bugesera,A,-0.8721798005433399
1993-05-01,Bugesera,A,0.6363236499359969
1993-06-01,Bugesera,off,-0.6389297895199657
1993-07-01,Bugesera,off,-0.30539116382535747
1993-08-01,Bugesera,off,2.2978158873618546
1993-09-01,Bugesera,off,-1.6818057263717028
1993-10-01,Bugesera,B,-1.6403944301299955
1993-11-01,Bugesera,B,-0.2154045974649718
1993-12-01,Bugesera,B,-1.106222848013854
1994-01-01,Bugesera,off,0.464724430078993
1994-02-01,Bugesera,off,-0.10474854947602537
1994-03-01,Bugesera,A,0.9656668073291015
1994-04-01,Bugesera,A,-0.37619709751574976
1994-05-01,Bugesera,A,0.4987114301030911
1994-06-01,Bugesera,off,-0.4796530111044837
1994-07-01,Bugesera,off,0.13439565071186585
1994-08-01,Bugesera,off,-0.32451147324545543
1994-09-01,Bugesera,off,-0.7616611124026652
1994-10-01,Bugesera,B,-0.7626750038118257
1994-11-01,Bugesera,B,0.690394913691722
1994-12-01,Bugesera,B,0.7975375054399927
1995-01-01,Bugesera,off,0.17173786738087823
1995-02-01,Bugesera,off,-0.5100827659148944
1995-03-01,Bugesera,A,-0.4477844160617721
1995-04-01,Bugesera,A,0.86119566526333
1995-05-01,Bugesera,A,-0.09780151486228979
1995-06-01,Bugesera,off,2.1263255310939693
1995-07-01,Bugesera,off,-0.2775927347229927
1995-08-01,Bugesera,off,-1.179751899509751
1995-09-01,Bugesera,off,-0.6651080863114761
1995-10-01,Bugesera,B,0.09382865314469893
1995-11-01,Bugesera,B,0.2972882426893409
1995-12-01,Bugesera,B,-1.6101868315351648
1996-01-01,Bugesera,off,-0.6403718649790072
1996-02-01,Bugesera,off,0.4458751634187735
1996-03-01,Bugesera,A,-0.28041327941201377
1996-04-01,Bugesera,A,-0.374438351855489
1996-05-01,Bugesera,A,-1.0392160613801438
1996-06-01,Bugesera,off,0.5008755699687737
1996-07-01,Bugesera,off,1.9221241076390592
1996-08-01,Bugesera,off,1.719643681553063
1996-09-01,Bugesera,off,0.09789535703429032
1996-10-01,Bugesera,B,-1.4113591196969777
1996-11-01,Bugesera,B,-0.9250452439588569
1996-12-01,Bugesera,B,-0.6046139424264726
1997-01-01,Bugesera,off,1.413202706197274
1997-02-01,Bugesera,off,-1.1421140356442827
1997-03-01,Bugesera,A,-0.6450022504222058
1997-04-01,Bugesera,A,0.6225038596043997
1997-05-01,Bugesera,A,-0.5235606966414956
1997-06-01,Bugesera,off,0.10445464196335419
1997-07-01,Bugesera,off,-0.19202530901915915
1997-08-01,Bugesera,off,0.2306774788478
1997-09-01,Bugesera,off,-0.563423298198983
1997-10-01,Bugesera,B,2.056713778090383
1997-11-01,Bugesera,B,0.8962713728072357
1997-12-01,Bugesera,B,1.4444555934201897
1998-01-01,Bugesera,off,2.3945330504731963
1998-02-01,Bugesera,off,2.0304118622106717
1998-03-01,Bugesera,A,0.5832914192407828
1998-04-01,Bugesera,A,-0.11781111767864888
1998-05-01,Bugesera,A,0.5101579249509192
1998-06-01,Bugesera,off,0.6823039816938846
1998-07-01,Bugesera,off,-0.028235138599818986
1998-08-01,Bugesera,off,-0.703495245403498
1998-09-01,Bugesera,off,0.04303375484339362
1998-10-01,Bugesera,B,-0.01374750673928259
1998-11-01,Bugesera,B,-1.0850902394989894
1998-12-01,Bugesera,B,-1.28318643195054
1999-01-01,Bugesera,off,-0.22286243976059672
1999-02-01,Bugesera,off,-2.1463723124522844
1999-03-01,Bugesera,A,0.8683648560926474
1999-04-01,Bugesera,A,-1.0604604225057914
1999-05-01,Bugesera,A,-1.0712870192585973
1999-06-01,Bugesera,off,-0.7704963853130438
1999-07-01,Bugesera,off,-0.31320465423847255
1999-08-01,Bugesera,off,0.5246130612867725
1999-09-01,Bugesera,off,0.7982492314467907
1999-10-01,Bugesera,B,-1.4169663764824596
1999-11-01,Bugesera,B,-0.9812419561785406
1999-12-01,Bugesera,B,-0.07943003508260976
2000-01-01,Bugesera,off,-1.028019096825082
2000-02-01,Bugesera,off,-1.35407023790673
2000-03-01,Bugesera,A,-0.43036021305946404
2000-04-01,Bugesera,A,-1.2917698585755777
2000-05-01,Bugesera,A,-1.1079628030951842
2000-06-01,Bugesera,off,-0.8180268682040908
2000-07-01,Bugesera,off,-0.27965333539485976
2000-08-01,Bugesera,off,-1.292837113318805
2000-09-01,Bugesera,off,-1.7161787331169882
2000-10-01,Bugesera,B,-0.1278526645772666
2000-11-01,Bugesera,B,0.07779052394592849
2000-12-01,Bugesera,B,-0.06649354521803523
2001-01-01,Bugesera,off,0.8731212482452583
2001-02-01,Bugesera,off,-0.792919168825503
2001-03-01,Bugesera,A,1.7663840050805297
2001-04-01,Bugesera,A,-1.0365319095528038
2001-05-01,Bugesera,A,-0.5429481808751079
2001-06-01,Bugesera,off,-0.859560971742788
2001-07-01,Bugesera,off,1.0077117304877947
2001-08-01,Bugesera,off,-0.09225382922602385
2001-09-01,Bugesera,off,0.8464427328719301
2001-10-01,Bugesera,B,1.773340506612367
2001-11-01,Bugesera,B,1.4246349230702589
2001-12-01,Bugesera,B,-0.31897923551842433
2002-01-01,Bugesera,off,0.41147980853895255
2002-02-01,Bugesera,off,-0.4330617109549035
2002-03-01,Bugesera,A,0.636785105487453
2002-04-01,Bugesera,A,0.6614823727798639
2002-05-01,Bugesera,A,1.06003704623295
2002-06-01,Bugesera,off,-0.9190650407402112
